258	67068,1.0;67071,1.0
259	67383,1.0;67385,1.0;67386,1.0;67387,1.0;67388,1.0;67389,1.0;67390,1.0;67391,1.0;67392,1.0
260	67553,1.0;67554,1.0;67555,1.0;67556,1.0;67557,1.0;67558,1.0;67561,1.0
261	67794,1.0;67795,1.0;67796,1.0;67797,1.0;67798,1.0;67799,1.0;67800,1.0;67801,1.0;67802,1.0;67803,1.0;67804,1.0
262	67937,1.0;67938,1.0;67939,1.0;67940,1.0;67941,1.0;67942,1.0;67943,1.0;67944,1.0;67945,1.0;67946,1.0
263	68273,1.0;68274,1.0;68275,1.0;68276,1.0;68277,1.0;68278,1.0;68279,1.0;68280,1.0;68281,1.0;68283,1.0
264	68383,1.0;68384,1.0;68385,1.0;68386,1.0;68387,1.0;68388,1.0;68389,1.0;68390,1.0;68391,1.0;68392,1.0;68393,1.0
265	68638,1.0;68639,1.0;68640,1.0;68641,1.0;68642,1.0;68643,1.0;68644,1.0;68645,1.0;68646,1.0
266	68881,1.0;68882,1.0;68883,1.0;68884,1.0;68885,1.0;68886,1.0;68887,1.0;68888,1.0;68889,1.0
267	69177,1.0;69178,1.0;69179,1.0;69180,1.0;69181,1.0;69182,1.0;69183,1.0;69184,1.0;69185,1.0;69186,1.0
268	69533,1.0;69534,1.0;69535,1.0;69536,1.0;69537,1.0;69538,1.0;69539,1.0;69540,1.0;69541,1.0;69542,1.0;69543,1.0
269	69811,1.0;69812,1.0;69813,1.0;69814,1.0;69815,1.0;69816,1.0;69817,1.0;69818,1.0;69819,1.0;69820,1.0;69821,1.0
270	70161,1.0;70162,1.0;70163,1.0;70164,1.0;70165,1.0;70166,1.0;70167,1.0;70168,1.0;70169,1.0;70170,1.0
271	70420,1.0;70421,1.0;70422,1.0;70423,1.0;70424,1.0;70425,1.0;70426,1.0;70428,1.0;70429,1.0
272	70743,1.0;70744,1.0;70745,1.0;70746,1.0;70747,1.0;70748,1.0;70749,1.0;70751,1.0;70752,1.0;70753,1.0
273	70914,1.0;70915,1.0;70916,1.0;70917,1.0;70918,1.0;70919,1.0;70920,1.0;70921,1.0;70922,1.0;70923,1.0
274	71357,1.0;71358,1.0;71359,1.0;71360,1.0;71361,1.0;71362,1.0;71363,1.0;71366,1.0
275	71612,1.0;71614,1.0;71615,1.0;71616,1.0;71617,1.0;71618,1.0;71619,1.0;71620,1.0;71621,1.0
276	71835,1.0;71836,1.0;71837,1.0;71838,1.0;71839,1.0;71840,1.0;71841,1.0;71842,1.0;71843,1.0;71845,1.0
277	72113,1.0;72114,1.0;72115,1.0;72116,1.0;72117,1.0;72118,1.0;72119,1.0;72120,1.0;72121,1.0;72122,1.0
278	72392,1.0;72393,1.0;72394,1.0;72395,1.0;72396,1.0;72397,1.0;72398,1.0;72399,1.0;72400,1.0;72401,1.0
279	72629,1.0;72630,1.0;72631,1.0;72632,1.0;72633,1.0;72634,1.0;72635,1.0;72636,1.0;72637,1.0
280	72932,1.0;72933,1.0;72934,1.0;72935,1.0;72936,1.0;72937,1.0;72938,1.0;72939,1.0;72940,1.0
281	73182,1.0;73183,1.0;73184,1.0;73185,1.0;73186,1.0;73187,1.0;73188,1.0;73189,1.0;73190,1.0
282	73430,1.0;73431,1.0;73432,1.0;73433,1.0;73434,1.0;73435,1.0;73436,1.0;73437,1.0;73438,1.0
283	73683,1.0;73684,1.0;73685,1.0;73686,1.0;73687,1.0;73688,1.0;73689,1.0;73690,1.0;73691,1.0
284	73875,1.0;73876,1.0;73877,1.0;73878,1.0;73879,1.0;73880,1.0;73881,1.0;73882,1.0;73883,1.0;73884,1.0
285	74167,1.0;74168,1.0;74169,1.0;74170,1.0;74171,1.0;74172,1.0;74173,1.0;74174,1.0;74175,1.0;74176,1.0
286	74449,1.0;74450,1.0;74451,1.0;74452,1.0;74453,1.0;74454,1.0;74455,1.0;74456,1.0;74457,1.0
287	74744,1.0;74745,1.0;74746,1.0;74747,1.0;74748,1.0;74749,1.0;74750,1.0;74751,1.0;74752,1.0
288	75063,1.0;75064,1.0;75065,1.0;75066,1.0;75067,1.0;75068,1.0;75069,1.0;75070,1.0;75071,1.0
289	75457,1.0;75458,1.0;75459,1.0;75460,1.0;75461,1.0;75462,1.0;75463,1.0;75464,1.0;75465,1.0;75466,1.0
290	75788,1.0;75789,1.0;75790,1.0;75791,1.0;75792,1.0;75793,1.0;75794,1.0;75795,1.0;75796,1.0;75797,1.0
291	76206,1.0;76207,1.0;76208,1.0;76209,1.0;76210,1.0;76211,1.0;76212,1.0;76213,1.0
292	76507,1.0;76508,1.0;76509,1.0;76510,1.0;76511,1.0;76512,1.0;76513,1.0;76514,1.0;76515,1.0;76516,1.0
