21	67068,0.3333333333333333;67071,0.3333333333333333;68638,0.3333333333333333;68639,0.3333333333333333;68640,0.3333333333333333;68641,0.3333333333333333;68642,0.3333333333333333;68643,0.3333333333333333;68644,0.3333333333333333;68645,0.3333333333333333;68646,0.3333333333333333;71835,0.3333333333333333;71836,0.3333333333333333;71837,0.3333333333333333;71838,0.3333333333333333;71839,0.3333333333333333;71840,0.3333333333333333;71841,0.3333333333333333;71842,0.3333333333333333;71843,0.3333333333333333;71845,0.3333333333333333;74167,0.3333333333333333;74168,0.3333333333333333;74169,0.3333333333333333;74170,0.3333333333333333;74171,0.3333333333333333;74172,0.3333333333333333;74173,0.3333333333333333;74174,0.3333333333333333;74175,0.3333333333333333;74176,0.3333333333333333
06	67068,0.3333333333333333;67071,0.3333333333333333;70420,0.3333333333333333;70421,0.3333333333333333;70422,0.3333333333333333;70423,0.3333333333333333;70424,0.3333333333333333;70425,0.3333333333333333;70426,0.3333333333333333;70428,0.3333333333333333;70429,0.3333333333333333;73182,0.3333333333333333;73183,0.3333333333333333;73184,0.3333333333333333;73185,0.3333333333333333;73186,0.3333333333333333;73187,0.3333333333333333;73188,0.3333333333333333;73189,0.3333333333333333;73190,0.3333333333333333;76206,0.3333333333333333;76207,0.3333333333333333;76208,0.3333333333333333;76209,0.3333333333333333;76210,0.3333333333333333;76211,0.3333333333333333;76212,0.3333333333333333;76213,0.3333333333333333
2011	67068,0.3333333333333333;67071,0.3333333333333333;67383,0.3333333333333333;67385,0.3333333333333333;67386,0.3333333333333333;67387,0.3333333333333333;67388,0.3333333333333333;67389,0.3333333333333333;67390,0.3333333333333333;67391,0.3333333333333333;67392,0.3333333333333333;67553,0.3333333333333333;67554,0.3333333333333333;67555,0.3333333333333333;67556,0.3333333333333333;67557,0.3333333333333333;67558,0.3333333333333333;67561,0.3333333333333333;67794,0.3333333333333333;67795,0.3333333333333333;67796,0.3333333333333333;67797,0.3333333333333333;67798,0.3333333333333333;67799,0.3333333333333333;67800,0.3333333333333333;67801,0.3333333333333333;67802,0.3333333333333333;67803,0.3333333333333333;67804,0.3333333333333333;67937,0.3333333333333333;67938,0.3333333333333333;67939,0.3333333333333333;67940,0.3333333333333333;67941,0.3333333333333333;67942,0.3333333333333333;67943,0.3333333333333333;67944,0.3333333333333333;67945,0.3333333333333333;67946,0.3333333333333333;68273,0.3333333333333333;68274,0.3333333333333333;68275,0.3333333333333333;68276,0.3333333333333333;68277,0.3333333333333333;68278,0.3333333333333333;68279,0.3333333333333333;68280,0.3333333333333333;68281,0.3333333333333333;68283,0.3333333333333333;68383,0.3333333333333333;68384,0.3333333333333333;68385,0.3333333333333333;68386,0.3333333333333333;68387,0.3333333333333333;68388,0.3333333333333333;68389,0.3333333333333333;68390,0.3333333333333333;68391,0.3333333333333333;68392,0.3333333333333333;68393,0.3333333333333333;68638,0.3333333333333333;68639,0.3333333333333333;68640,0.3333333333333333;68641,0.3333333333333333;68642,0.3333333333333333;68643,0.3333333333333333;68644,0.3333333333333333;68645,0.3333333333333333;68646,0.3333333333333333
22	67383,0.3333333333333333;67385,0.3333333333333333;67386,0.3333333333333333;67387,0.3333333333333333;67388,0.3333333333333333;67389,0.3333333333333333;67390,0.3333333333333333;67391,0.3333333333333333;67392,0.3333333333333333;68273,0.3333333333333333;68274,0.3333333333333333;68275,0.3333333333333333;68276,0.3333333333333333;68277,0.3333333333333333;68278,0.3333333333333333;68279,0.3333333333333333;68280,0.3333333333333333;68281,0.3333333333333333;68283,0.3333333333333333;69177,0.3333333333333333;69178,0.3333333333333333;69179,0.3333333333333333;69180,0.3333333333333333;69181,0.3333333333333333;69182,0.3333333333333333;69183,0.3333333333333333;69184,0.3333333333333333;69185,0.3333333333333333;69186,0.3333333333333333
07	67383,0.3333333333333333;67385,0.3333333333333333;67386,0.3333333333333333;67387,0.3333333333333333;67388,0.3333333333333333;67389,0.3333333333333333;67390,0.3333333333333333;67391,0.3333333333333333;67392,0.3333333333333333;73430,0.3333333333333333;73431,0.3333333333333333;73432,0.3333333333333333;73433,0.3333333333333333;73434,0.3333333333333333;73435,0.3333333333333333;73436,0.3333333333333333;73437,0.3333333333333333;73438,0.3333333333333333
30	67553,0.3333333333333333;67554,0.3333333333333333;67555,0.3333333333333333;67556,0.3333333333333333;67557,0.3333333333333333;67558,0.3333333333333333;67561,0.3333333333333333;72932,0.3333333333333333;72933,0.3333333333333333;72934,0.3333333333333333;72935,0.3333333333333333;72936,0.3333333333333333;72937,0.3333333333333333;72938,0.3333333333333333;72939,0.3333333333333333;72940,0.3333333333333333
08	67553,0.3333333333333333;67554,0.3333333333333333;67555,0.3333333333333333;67556,0.3333333333333333;67557,0.3333333333333333;67558,0.3333333333333333;67561,0.3333333333333333;70743,0.3333333333333333;70744,0.3333333333333333;70745,0.3333333333333333;70746,0.3333333333333333;70747,0.3333333333333333;70748,0.3333333333333333;70749,0.3333333333333333;70751,0.3333333333333333;70752,0.3333333333333333;70753,0.3333333333333333;73683,0.3333333333333333;73684,0.3333333333333333;73685,0.3333333333333333;73686,0.3333333333333333;73687,0.3333333333333333;73688,0.3333333333333333;73689,0.3333333333333333;73690,0.3333333333333333;73691,0.3333333333333333;76507,0.3333333333333333;76508,0.3333333333333333;76509,0.3333333333333333;76510,0.3333333333333333;76511,0.3333333333333333;76512,0.3333333333333333;76513,0.3333333333333333;76514,0.3333333333333333;76515,0.3333333333333333;76516,0.3333333333333333
29	67794,0.3333333333333333;67795,0.3333333333333333;67796,0.3333333333333333;67797,0.3333333333333333;67798,0.3333333333333333;67799,0.3333333333333333;67800,0.3333333333333333;67801,0.3333333333333333;67802,0.3333333333333333;67803,0.3333333333333333;67804,0.3333333333333333;70420,0.3333333333333333;70421,0.3333333333333333;70422,0.3333333333333333;70423,0.3333333333333333;70424,0.3333333333333333;70425,0.3333333333333333;70426,0.3333333333333333;70428,0.3333333333333333;70429,0.3333333333333333;71612,0.3333333333333333;71614,0.3333333333333333;71615,0.3333333333333333;71616,0.3333333333333333;71617,0.3333333333333333;71618,0.3333333333333333;71619,0.3333333333333333;71620,0.3333333333333333;71621,0.3333333333333333
09	67794,0.3333333333333333;67795,0.3333333333333333;67796,0.3333333333333333;67797,0.3333333333333333;67798,0.3333333333333333;67799,0.3333333333333333;67800,0.3333333333333333;67801,0.3333333333333333;67802,0.3333333333333333;67803,0.3333333333333333;67804,0.3333333333333333;70914,0.3333333333333333;70915,0.3333333333333333;70916,0.3333333333333333;70917,0.3333333333333333;70918,0.3333333333333333;70919,0.3333333333333333;70920,0.3333333333333333;70921,0.3333333333333333;70922,0.3333333333333333;70923,0.3333333333333333;73875,0.3333333333333333;73876,0.3333333333333333;73877,0.3333333333333333;73878,0.3333333333333333;73879,0.3333333333333333;73880,0.3333333333333333;73881,0.3333333333333333;73882,0.3333333333333333;73883,0.3333333333333333;73884,0.3333333333333333
19	67937,0.3333333333333333;67938,0.3333333333333333;67939,0.3333333333333333;67940,0.3333333333333333;67941,0.3333333333333333;67942,0.3333333333333333;67943,0.3333333333333333;67944,0.3333333333333333;67945,0.3333333333333333;67946,0.3333333333333333;69811,0.3333333333333333;69812,0.3333333333333333;69813,0.3333333333333333;69814,0.3333333333333333;69815,0.3333333333333333;69816,0.3333333333333333;69817,0.3333333333333333;69818,0.3333333333333333;69819,0.3333333333333333;69820,0.3333333333333333;69821,0.3333333333333333
10	67937,0.3333333333333333;67938,0.3333333333333333;67939,0.3333333333333333;67940,0.3333333333333333;67941,0.3333333333333333;67942,0.3333333333333333;67943,0.3333333333333333;67944,0.3333333333333333;67945,0.3333333333333333;67946,0.3333333333333333;73875,0.3333333333333333;73876,0.3333333333333333;73877,0.3333333333333333;73878,0.3333333333333333;73879,0.3333333333333333;73880,0.3333333333333333;73881,0.3333333333333333;73882,0.3333333333333333;73883,0.3333333333333333;73884,0.3333333333333333;74167,0.3333333333333333;74168,0.3333333333333333;74169,0.3333333333333333;74170,0.3333333333333333;74171,0.3333333333333333;74172,0.3333333333333333;74173,0.3333333333333333;74174,0.3333333333333333;74175,0.3333333333333333;74176,0.3333333333333333
11	68273,0.6666666666666666;68274,0.6666666666666666;68275,0.6666666666666666;68276,0.6666666666666666;68277,0.6666666666666666;68278,0.6666666666666666;68279,0.6666666666666666;68280,0.6666666666666666;68281,0.6666666666666666;68283,0.6666666666666666;70914,0.3333333333333333;70915,0.3333333333333333;70916,0.3333333333333333;70917,0.3333333333333333;70918,0.3333333333333333;70919,0.3333333333333333;70920,0.3333333333333333;70921,0.3333333333333333;70922,0.3333333333333333;70923,0.3333333333333333;71357,0.3333333333333333;71358,0.3333333333333333;71359,0.3333333333333333;71360,0.3333333333333333;71361,0.3333333333333333;71362,0.3333333333333333;71363,0.3333333333333333;71366,0.3333333333333333;71612,0.3333333333333333;71614,0.3333333333333333;71615,0.3333333333333333;71616,0.3333333333333333;71617,0.3333333333333333;71618,0.3333333333333333;71619,0.3333333333333333;71620,0.3333333333333333;71621,0.3333333333333333
1	68383,1.3333333333333333;68384,1.3333333333333333;68385,1.3333333333333333;68386,1.3333333333333333;68387,1.3333333333333333;68388,1.3333333333333333;68389,1.3333333333333333;68390,1.3333333333333333;68391,1.3333333333333333;68392,1.3333333333333333;68393,1.3333333333333333
12	68383,0.3333333333333333;68384,0.3333333333333333;68385,0.3333333333333333;68386,0.3333333333333333;68387,0.3333333333333333;68388,0.3333333333333333;68389,0.3333333333333333;68390,0.3333333333333333;68391,0.3333333333333333;68392,0.3333333333333333;68393,0.3333333333333333;68638,0.3333333333333333;68639,0.3333333333333333;68640,0.3333333333333333;68641,0.3333333333333333;68642,0.3333333333333333;68643,0.3333333333333333;68644,0.3333333333333333;68645,0.3333333333333333;68646,0.3333333333333333;71835,0.6666666666666666;71836,0.6666666666666666;71837,0.6666666666666666;71838,0.6666666666666666;71839,0.6666666666666666;71840,0.6666666666666666;71841,0.6666666666666666;71842,0.6666666666666666;71843,0.6666666666666666;71845,0.6666666666666666;74449,0.3333333333333333;74450,0.3333333333333333;74451,0.3333333333333333;74452,0.3333333333333333;74453,0.3333333333333333;74454,0.3333333333333333;74455,0.3333333333333333;74456,0.3333333333333333;74457,0.3333333333333333;74744,0.3333333333333333;74745,0.3333333333333333;74746,0.3333333333333333;74747,0.3333333333333333;74748,0.3333333333333333;74749,0.3333333333333333;74750,0.3333333333333333;74751,0.3333333333333333;74752,0.3333333333333333
24	68881,0.3333333333333333;68882,0.3333333333333333;68883,0.3333333333333333;68884,0.3333333333333333;68885,0.3333333333333333;68886,0.3333333333333333;68887,0.3333333333333333;68888,0.3333333333333333;68889,0.3333333333333333
