Général	67795,0.16666666666666666;68638,0.06896551724137931;70161,0.05405405405405406;70914,0.029411764705882353;72392,0.04;75457,0.05
d	67795,0.16666666666666666;67940,0.2702702702702703;68281,0.3;68638,0.27586206896551724;68881,0.17647058823529413;68886,0.19753086419753085;69177,0.42857142857142855;69183,0.11764705882352941;69542,0.23076923076923078;69811,0.21621621621621623;69816,0.21951219512195122;70161,0.16216216216216217;70163,0.2727272727272727;70422,0.08333333333333333;70423,0.2857142857142857;70424,0.6;70425,0.43478260869565216;70747,0.23076923076923078;70916,0.15492957746478872;72119,0.16666666666666666;72635,0.07692307692307693;72636,0.3333333333333333;73430,0.3;73431,0.24752475247524752;73683,0.24444444444444444;73875,0.4;74167,0.28888888888888886;74168,0.3137254901960784;74450,0.16666666666666666;74455,0.2857142857142857;75063,0.19047619047619047;75070,0.2;75457,0.2;75458,0.21153846153846154;75788,0.18421052631578946;75789,0.24324324324324326;75792,0.2777777777777778;76213,0.19047619047619047
AgroParisTech	67795,0.16666666666666666
Quelques	67800,0.030303030303030304
effets	67800,0.030303030303030304
la	67800,0.15151515151515152;67937,0.014492753623188406;68274,0.07692307692307693;68276,0.125;68383,0.09090909090909091;68638,0.06896551724137931;68886,0.08641975308641975;69178,0.058823529411764705;69541,0.09090909090909091;69811,0.05405405405405406;69816,0.04878048780487805;70163,0.09090909090909091;70421,0.1;70425,0.043478260869565216;70744,0.06818181818181818;70914,0.058823529411764705;70916,0.06338028169014084;71612,0.1111111111111111;71837,0.18181818181818182;72119,0.08333333333333333;72635,0.038461538461538464;72939,0.07142857142857142;72940,0.0625;73431,0.039603960396039604;73683,0.044444444444444446;73876,0.024390243902439025;74167,0.022222222222222223;74168,0.0392156862745098;75063,0.023809523809523808;75065,0.15384615384615385;75070,0.12;75458,0.057692307692307696;75789,0.10810810810810811
Galvestine	67800,0.030303030303030304
1	67800,0.030303030303030304;70916,0.007042253521126761
aux	67800,0.06060606060606061;67940,0.02702702702702703;70916,0.007042253521126761;72113,0.06666666666666667;72635,0.07692307692307693;72932,0.05555555555555555;73683,0.022222222222222223;74167,0.022222222222222223
niveaux	67800,0.030303030303030304
l	67800,0.5454545454545454;67937,0.21739130434782608;67938,0.5;68276,0.5;68281,0.3;68383,0.2727272727272727;68390,0.27906976744186046;68638,0.41379310344827586;68882,0.2857142857142857;68886,0.24691358024691357;69178,0.35294117647058826;69811,0.40540540540540543;69816,0.2926829268292683;70914,0.23529411764705882;70916,0.2535211267605634;71614,0.16666666666666666;71835,0.5454545454545454;72113,0.5333333333333333;72119,0.19444444444444445;72392,0.24;72397,0.13636363636363635;72932,0.2222222222222222;72933,0.27586206896551724;73182,0.375;73183,0.375;73430,0.3;73431,0.39603960396039606;73683,0.24444444444444444;73876,0.1951219512195122;74167,0.2;74454,0.26666666666666666;74455,0.35714285714285715;74750,0.28;75063,0.21428571428571427;75064,0.42857142857142855;75070,0.4;75458,0.3269230769230769;75791,0.2727272727272727;75792,0.2222222222222222;76213,0.2857142857142857
enzyme	67800,0.030303030303030304
cible	67800,0.030303030303030304
MGDG	67800,0.030303030303030304
synthase	67800,0.030303030303030304
MGD	67800,0.06060606060606061
du	67800,0.09090909090909091;67940,0.02702702702702703;68281,0.1;68638,0.034482758620689655;68881,0.058823529411764705;68886,0.024691358024691357;69177,0.14285714285714285;69178,0.058823529411764705;69811,0.02702702702702703;70163,0.09090909090909091;70165,0.0625;70421,0.2;70425,0.043478260869565216;70914,0.029411764705882353;70916,0.014084507042253521;71837,0.09090909090909091;72119,0.027777777777777776;72392,0.04;72933,0.13793103448275862;73683,0.022222222222222223;73876,0.024390243902439025;74168,0.09803921568627451;74454,0.13333333333333333;74455,0.07142857142857142;75064,0.07142857142857142;75457,0.05;75458,0.009615384615384616;75792,0.05555555555555555
développement	67800,0.06060606060606061;73431,0.009900990099009901
subcellulaire	67800,0.030303030303030304
genèse	67800,0.030303030303030304
des	67800,0.06060606060606061;67937,0.014492753623188406;68274,0.07692307692307693;68280,0.018867924528301886;68882,0.07142857142857142;68886,0.012345679012345678;69816,0.024390243902439025;70161,0.02702702702702703;70163,0.045454545454545456;70420,0.15384615384615385;70425,0.043478260869565216;70744,0.022727272727272728;70916,0.02112676056338028;71612,0.07407407407407407;71614,0.05555555555555555;72113,0.06666666666666667;72933,0.034482758620689655;73182,0.125;73430,0.1;73431,0.039603960396039604;73684,0.043478260869565216;74168,0.0392156862745098;75063,0.023809523809523808;75458,0.009615384615384616;75788,0.02631578947368421;75789,0.05405405405405406
chloroplastes	67800,0.030303030303030304
feuilles	67800,0.030303030303030304
ou	67800,0.030303030303030304;70916,0.02112676056338028;72119,0.08333333333333333
croissance	67800,0.030303030303030304;68886,0.012345679012345678
tube	67800,0.030303030303030304
pollinique	67800,0.030303030303030304
Jules	67937,0.028985507246376812;73683,0.022222222222222223
Hoffmann	67937,0.028985507246376812
Prix	67937,0.014492753623188406;72933,0.034482758620689655
Nobel	67937,0.014492753623188406
Médecine	67937,0.014492753623188406
Physiologie	67937,0.014492753623188406
2011	67937,0.014492753623188406
Au	67937,0.014492753623188406
départ	67937,0.014492753623188406
