0	67386,0.05555555555555555;67387,0.04878048780487805;67389,0.08;67390,0.16666666666666666;67391,0.1;67553,0.09523809523809523;67556,0.022222222222222223;67557,0.13043478260869565;67561,0.1111111111111111;67801,0.1111111111111111;67802,0.1875;67937,0.11764705882352941;67939,0.04;67941,0.05555555555555555;67942,0.125;67943,0.125;67944,0.05263157894736842;67945,0.04;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68280,0.125;68281,0.05555555555555555;68383,0.0625;68384,0.037037037037037035;68385,0.125;68388,0.047619047619047616;68390,0.11538461538461539;68391,0.058823529411764705;68392,0.05263157894736842;68393,0.05555555555555555;68638,0.08333333333333333;68639,0.058823529411764705;68640,0.125;68641,0.11764705882352941;68642,0.038461538461538464;68644,0.13333333333333333;68645,0.11538461538461539;68883,0.05263157894736842;68886,0.125;68887,0.1;68888,0.1111111111111111;69178,0.125;69182,0.034482758620689655;69183,0.03225806451612903;69184,0.08333333333333333;69185,0.11764705882352941;69536,0.07317073170731707;69537,0.058823529411764705;69538,0.05555555555555555;69539,0.0625;69540,0.047619047619047616;69541,0.18181818181818182;69813,0.0625;69814,0.06666666666666667;69816,0.05263157894736842;69819,0.05555555555555555;70161,0.045454545454545456;70163,0.0625;70167,0.07317073170731707;70168,0.0625;70421,0.125;70422,0.02702702702702703;70423,0.125;70424,0.0625;70425,0.125;70426,0.1111111111111111;70429,0.10526315789473684;70743,0.1;70744,0.038461538461538464;70748,0.09375;70751,0.07142857142857142;70916,0.09090909090909091;70917,0.11764705882352941;70918,0.13333333333333333;70919,0.1875;70920,0.18181818181818182;70921,0.05;70922,0.14285714285714285;70923,0.05263157894736842;71358,0.125;71361,0.1875;71362,0.05555555555555555;71612,0.027777777777777776;71614,0.15789473684210525;71618,0.1;71621,0.07317073170731707;71835,0.038461538461538464;71836,0.0967741935483871;71837,0.17647058823529413;71838,0.1875;71840,0.10526315789473684;72113,0.08333333333333333;72114,0.29411764705882354;72117,0.08333333333333333;72119,0.05263157894736842;72392,0.12121212121212122;72395,0.07692307692307693;72397,0.05263157894736842;72398,0.11764705882352941;72399,0.1111111111111111;72630,0.09523809523809523;72632,0.1;72635,0.0625;72934,0.07142857142857142;72936,0.041666666666666664;72939,0.07142857142857142;72940,0.09523809523809523;73182,0.08333333333333333;73183,0.09090909090909091;73186,0.05263157894736842;73190,0.047619047619047616;73430,0.034482758620689655;73431,0.18181818181818182;73433,0.10526315789473684;73434,0.0625;73436,0.038461538461538464;73683,0.09090909090909091;73687,0.058823529411764705;73688,0.09523809523809523;73689,0.14285714285714285;73875,0.15;73876,0.045454545454545456;73882,0.08108108108108109;73883,0.11764705882352941;74167,0.15714285714285714;74168,0.14285714285714285;74170,0.14285714285714285;74172,0.1875;74173,0.08695652173913043;74176,0.13043478260869565;74452,0.058823529411764705;74744,0.09523809523809523;74745,0.09523809523809523;74750,0.125;74751,0.043478260869565216;74752,0.10526315789473684;75066,0.25;75067,0.10526315789473684;75068,0.10526315789473684;75070,0.17647058823529413;75457,0.0625;75460,0.1;75463,0.1875;75789,0.05;75791,0.14285714285714285;76208,0.05263157894736842;76209,0.125;76210,0.2222222222222222;76211,0.05;76212,0.16666666666666666;76512,0.05555555555555555;76513,0.05
1	67386,0.05555555555555555;67390,0.1111111111111111;67556,0.08888888888888889;67557,0.08695652173913043;67937,0.058823529411764705;67939,0.08;67941,0.2222222222222222;67942,0.0625;67943,0.1875;67945,0.08;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68280,0.125;68383,0.03125;68385,0.0625;68388,0.047619047619047616;68392,0.15789473684210525;68393,0.05555555555555555;68638,0.041666666666666664;68639,0.058823529411764705;68640,0.0625;68641,0.11764705882352941;68645,0.038461538461538464;68883,0.05263157894736842;68886,0.0625;68888,0.2777777777777778;69183,0.06451612903225806;69184,0.041666666666666664;69185,0.058823529411764705;69536,0.0975609756097561;69541,0.09090909090909091;69813,0.0625;69816,0.10526315789473684;69819,0.05555555555555555;70161,0.045454545454545456;70163,0.0625;70168,0.0625;70421,0.1875;70422,0.02702702702702703;70424,0.0625;70426,0.2777777777777778;70429,0.05263157894736842;70748,0.125;70916,0.06818181818181818;70918,0.06666666666666667;70919,0.0625;70922,0.047619047619047616;70923,0.05263157894736842;71835,0.038461538461538464;71836,0.06451612903225806;71838,0.0625;72113,0.041666666666666664;72392,0.12121212121212122;72397,0.10526315789473684;72398,0.058823529411764705;72934,0.07142857142857142;72936,0.16666666666666666;72939,0.10714285714285714;72940,0.14285714285714285;73182,0.041666666666666664;73183,0.09090909090909091;73186,0.05263157894736842;73190,0.047619047619047616;73433,0.05263157894736842;73434,0.0625;73875,0.05;73882,0.05405405405405406;73883,0.058823529411764705;74171,0.14705882352941177;74173,0.043478260869565216;74452,0.058823529411764705;74744,0.09523809523809523;74745,0.09523809523809523;74750,0.125;74751,0.17391304347826086;74752,0.10526315789473684;75457,0.0625;75460,0.05;75463,0.0625;76208,0.05263157894736842;76211,0.2
39	67386,0.05555555555555555;68389,0.058823529411764705;69819,0.05555555555555555;70167,0.024390243902439025;71836,0.03225806451612903;71837,0.058823529411764705;73689,0.047619047619047616
63	67386,0.05555555555555555;67387,0.024390243902439025;68642,0.038461538461538464;68644,0.06666666666666667;69184,0.041666666666666664;71621,0.024390243902439025
52	67386,0.05555555555555555;67556,0.022222222222222223;69819,0.05555555555555555
pascale	67386,0.05555555555555555;71836,0.03225806451612903
minet	67386,0.05555555555555555
Laboratoire	67387,0.024390243902439025;67391,0.05;67939,0.04;68387,0.07142857142857142;68390,0.038461538461538464;68645,0.038461538461538464;69182,0.034482758620689655;69183,0.03225806451612903;70916,0.022727272727272728;71843,0.07142857142857142;72630,0.047619047619047616;73186,0.05263157894736842;73188,0.05;74173,0.043478260869565216;75794,0.07692307692307693
d	67387,0.0975609756097561;69182,0.13793103448275862;69183,0.16129032258064516;71618,0.05;72119,0.10526315789473684;73430,0.06896551724137931;73436,0.15384615384615385;73688,0.09523809523809523;73884,0.07407407407407407;74173,0.13043478260869565;75458,0.02857142857142857;75792,0.4444444444444444;76507,0.25
Ecologie	67387,0.04878048780487805
Alpine	67387,0.024390243902439025
Sandra	67387,0.024390243902439025;72395,0.038461538461538464
Lavorel	67387,0.024390243902439025
76	67387,0.024390243902439025;67942,0.0625;68642,0.038461538461538464;69177,0.07692307692307693;69178,0.0625;69179,0.07692307692307693;69536,0.04878048780487805;69539,0.0625;69813,0.0625;70163,0.0625;70423,0.08333333333333333;70424,0.0625;71836,0.06451612903225806;73188,0.05;73434,0.0625
56	67387,0.024390243902439025;67945,0.04;68383,0.03125;72117,0.041666666666666664;75067,0.05263157894736842
61	67387,0.04878048780487805;67802,0.0625;68644,0.06666666666666667;69182,0.034482758620689655;69537,0.058823529411764705;69814,0.06666666666666667;70751,0.07142857142857142;70916,0.022727272727272728;70921,0.05;71358,0.0625;72635,0.0625;73189,0.058823529411764705
sandra	67387,0.024390243902439025
lavorel	67387,0.024390243902439025
ujf	67387,0.024390243902439025;68642,0.038461538461538464
grenoble	67387,0.024390243902439025;68642,0.038461538461538464
frCentre	67387,0.024390243902439025
Fonctionnelle	67387,0.024390243902439025;68887,0.05
Evolutive	67387,0.024390243902439025
Eric	67387,0.024390243902439025;67388,0.125;68641,0.058823529411764705;68885,0.125;73685,0.058823529411764705;74749,0.06666666666666667
Garnier	67387,0.024390243902439025
67	67387,0.024390243902439025;67939,0.04;71614,0.05263157894736842;71835,0.038461538461538464;73876,0.045454545454545456
32	67387,0.024390243902439025;68390,0.038461538461538464;69182,0.034482758620689655;71362,0.05555555555555555;71612,0.027777777777777776;72630,0.047619047619047616;76210,0.05555555555555555;76512,0.05555555555555555
42	67387,0.024390243902439025;67561,0.1111111111111111;68384,0.037037037037037035;68883,0.05263157894736842;70748,0.03125;70916,0.022727272727272728;73183,0.045454545454545456;73433,0.05263157894736842;73683,0.045454545454545456;74452,0.11764705882352941;75460,0.05
eric	67387,0.024390243902439025;73685,0.058823529411764705
garnier	67387,0.024390243902439025
cef	67387,0.024390243902439025
cnrs	67387,0.024390243902439025;67937,0.058823529411764705;68278,0.058823529411764705;68642,0.038461538461538464;68887,0.05;69180,0.1111111111111111;70423,0.041666666666666664;71843,0.07142857142857142;72939,0.07142857142857142;74173,0.043478260869565216;74452,0.058823529411764705
Actilait	67388,0.125;68885,0.125
Notz	67388,0.125;68885,0.125
e	67388,0.25;68641,0.23529411764705882;68885,0.25;69536,0.43902439024390244;73437,0.125;74455,0.8888888888888888;74749,0.5333333333333333
notz	67388,0.125;68885,0.125
actilait	67388,0.125;68885,0.125
com	67388,0.125;67392,0.0625;67553,0.09523809523809523;67558,0.1;67796,0.2;67798,0.1111111111111111;67799,0.25;67804,0.2857142857142857;67938,0.2;67945,0.04;67946,0.10526315789473684;68273,0.15384615384615385;68274,0.16666666666666666;68383,0.0625;68384,0.037037037037037035;68390,0.038461538461538464;68638,0.041666666666666664;68646,0.16666666666666666;68881,0.05263157894736842;68882,0.05263157894736842;68885,0.125;69186,0.07142857142857142;69542,0.16666666666666666;69543,0.2;69815,0.2;69819,0.05555555555555555;69820,0.14285714285714285;70162,0.125;70165,0.16666666666666666;70428,0.14285714285714285;70749,0.0625;70751,0.07142857142857142;70921,0.05;71360,0.2;71614,0.05263157894736842;71615,0.16666666666666666;71616,0.125;71617,0.2;71619,0.14285714285714285;71839,0.2;71840,0.10526315789473684;71841,0.2;72117,0.08333333333333333;72118,0.16666666666666666;72120,0.125;72122,0.09523809523809523;72392,0.030303030303030304;72393,0.2222222222222222;72395,0.07692307692307693;72396,0.125;72399,0.05555555555555555;72629,0.16666666666666666;72633,0.15384615384615385;72634,0.125;72636,0.16666666666666666;72933,0.16666666666666666;72934,0.023809523809523808;72935,0.2;72937,0.045454545454545456;73185,0.07692307692307693;73187,0.16666666666666666;73435,0.2;73438,0.125;73684,0.125;73686,0.2;73690,0.09090909090909091;73691,0.16666666666666666;73875,0.05;73877,0.1;73878,0.14285714285714285;73881,0.125;74167,0.05714285714285714;74171,0.058823529411764705;74172,0.0625;74174,0.07142857142857142;74450,0.09090909090909091;74451,0.2;74453,0.2;74454,0.1111111111111111;74455,0.1111111111111111;74457,0.16666666666666666;74747,0.16666666666666666;74752,0.05263157894736842;75065,0.15384615384615385;75067,0.05263157894736842;75069,0.058823529411764705;75458,0.05714285714285714;75461,0.16666666666666666;75788,0.058823529411764705;75789,0.05;75793,0.125;75795,0.1111111111111111;76207,0.13333333333333333;76209,0.0625;76210,0.05555555555555555;76213,0.07692307692307693;76508,0.16666666666666666;76509,0.17647058823529413;76510,0.14285714285714285;76513,0.05;76514,0.16666666666666666;76516,0.07692307692307693
Inserm	67389,0.04;67556,0.022222222222222223;75459,0.07142857142857142
Unité	67389,0.04;67556,0.044444444444444446;68882,0.05263157894736842;69184,0.041666666666666664;72632,0.05;73184,0.07142857142857142
901	67389,0.04
de	67389,0.08;67391,0.2;67555,0.1111111111111111;67556,0.06666666666666667;67939,0.04;67945,0.04;68277,0.10526315789473684;68387,0.07142857142857142;68388,0.047619047619047616;68390,0.11538461538461539;68645,0.07692307692307693;68884,0.09090909090909091;68887,0.05;69183,0.0967741935483871;69184,0.08333333333333333;69534,0.10526315789473684;69536,0.024390243902439025;69540,0.047619047619047616;70161,0.045454545454545456;70167,0.07317073170731707;70423,0.041666666666666664;70743,0.05;70744,0.07692307692307693;70748,0.03125;70916,0.022727272727272728;71366,0.25;71620,0.058823529411764705;71621,0.024390243902439025;71835,0.038461538461538464;72119,0.05263157894736842;72630,0.047619047619047616;72632,0.1;73184,0.07142857142857142;73188,0.25;73688,0.047619047619047616;73876,0.045454545454545456;73884,0.018518518518518517;74171,0.029411764705882353;74449,0.08333333333333333;74450,0.45454545454545453;75064,0.08333333333333333;75791,0.047619047619047616;76208,0.10526315789473684;76515,0.25
Neurobiologie	67389,0.04
la	67389,0.04;68388,0.047619047619047616;68889,0.08333333333333333;70161,0.045454545454545456;70744,0.038461538461538464;71620,0.058823529411764705;71621,0.024390243902439025;73188,0.15;74167,0.04285714285714286;74171,0.058823529411764705;75064,0.041666666666666664;76515,0.25
Jérôme	67389,0.04
Epsztein	67389,0.04
91	67389,0.04;68391,0.058823529411764705;73688,0.047619047619047616
82	67389,0.04;70918,0.06666666666666667;72397,0.05263157894736842;73688,0.047619047619047616;74173,0.043478260869565216
81	67389,0.04;67941,0.05555555555555555;69540,0.047619047619047616;70421,0.0625;73876,0.045454545454545456
15	67389,0.04;67801,0.05555555555555555;68392,0.05263157894736842;69183,0.03225806451612903;69536,0.024390243902439025;69816,0.05263157894736842
epsztein	67389,0.04
inmed	67389,0.04
univ	67389,0.04;68884,0.09090909090909091;70745,0.1;70922,0.047619047619047616;72397,0.05263157894736842;72938,0.16666666666666666;73436,0.038461538461538464;73683,0.045454545454545456;73688,0.047619047619047616;75794,0.07692307692307693
mrs	67389,0.04
CEA	67390,0.05555555555555555;67554,0.1111111111111111;67800,0.125;67943,0.0625;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68881,0.05263157894736842;68886,0.0625;70421,0.0625;70914,0.0625;70915,0.037037037037037035;70919,0.0625;71838,0.0625;72115,0.1111111111111111;72392,0.030303030303030304;74168,0.07142857142857142;74744,0.047619047619047616;74745,0.047619047619047616;75064,0.041666666666666664;75463,0.0625;75792,0.05555555555555555
Jean	67390,0.05555555555555555;67556,0.022222222222222223;68881,0.05263157894736842;70744,0.038461538461538464;72116,0.125;73876,0.045454545454545456;73877,0.1;76508,0.08333333333333333
Christophe	67390,0.05555555555555555;69817,0.1;70420,0.1111111111111111
Cintrat	67390,0.05555555555555555
69	67390,0.05555555555555555;68392,0.05263157894736842;68639,0.058823529411764705;68641,0.058823529411764705;68645,0.038461538461538464;69183,0.03225806451612903;69536,0.024390243902439025;69816,0.05263157894736842;70425,0.0625;70916,0.022727272727272728;72398,0.058823529411764705;72934,0.023809523809523808;73186,0.05263157894736842;73188,0.05;73882,0.02702702702702703;74173,0.043478260869565216;75463,0.0625;76208,0.05263157894736842
08	67390,0.05555555555555555;67391,0.05;67553,0.047619047619047616;68645,0.038461538461538464;69185,0.058823529411764705;70917,0.058823529411764705;71840,0.05263157894736842;73875,0.05;73883,0.058823529411764705;74167,0.014285714285714285;75463,0.0625
21	67390,0.05555555555555555;67939,0.04;71363,0.2857142857142857;71621,0.024390243902439025;72395,0.038461538461538464;74167,0.014285714285714285;74171,0.029411764705882353
07	67390,0.05555555555555555;70916,0.022727272727272728;74167,0.014285714285714285;75068,0.05263157894736842
jean	67390,0.05555555555555555;70744,0.038461538461538464;73876,0.045454545454545456;73877,0.1
christophe	67390,0.05555555555555555;69817,0.1;70420,0.1111111111111111
cintrat	67390,0.05555555555555555
cea	67390,0.05555555555555555;67554,0.1111111111111111;67800,0.125;67943,0.0625;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68881,0.05263157894736842;68886,0.0625;70421,0.0625;70914,0.0625;70915,0.1111111111111111;70919,0.0625;71838,0.0625;72115,0.1111111111111111;72392,0.030303030303030304;74168,0.07142857142857142;74174,0.07142857142857142;74744,0.09523809523809523;74745,0.09523809523809523;75064,0.08333333333333333;75463,0.0625;75792,0.05555555555555555
Biogenèse	67391,0.05
Membranaire	67391,0.05
Vincent	67391,0.05
Arondel	67391,0.05
5	67391,0.2;67801,0.2222222222222222;68644,0.06666666666666667;69814,0.13333333333333333;70916,0.045454545454545456;70917,0.11764705882352941;71358,0.0625;71362,0.05555555555555555;71612,0.027777777777777776;71621,0.024390243902439025;72114,0.23529411764705882;72117,0.08333333333333333;72119,0.13157894736842105;72630,0.09523809523809523;72635,0.0625;73431,0.045454545454545456;75066,0.0625;75067,0.10526315789473684;76512,0.05555555555555555
57	67391,0.1;67801,0.1111111111111111;68281,0.05555555555555555;69178,0.0625;69819,0.05555555555555555;70744,0.038461538461538464;70917,0.058823529411764705;70922,0.047619047619047616;73183,0.045454545454545456;73882,0.02702702702702703;74176,0.08695652173913043
45	67391,0.05;69541,0.09090909090909091;70168,0.0625;73190,0.047619047619047616;75789,0.05
vincent	67391,0.05
arondel	67391,0.05
u	67391,0.1;67801,0.2222222222222222;67945,0.16;68387,0.42857142857142855;68392,0.15789473684210525;69183,0.2903225806451613;69536,0.12195121951219512;69816,0.2631578947368421;70748,0.15625;72932,0.2222222222222222;73184,0.2857142857142857;73431,0.2727272727272727;75459,0.35714285714285715;76206,0.2222222222222222
bordeaux2	67391,0.05;67801,0.05555555555555555
Hélio	67392,0.0625
SPIR	67392,0.0625
heliospir	67392,0.0625
net	67392,0.0625;68383,0.0625;71366,0.125
actualites	67392,0.0625;72934,0.023809523809523808;74167,0.02857142857142857;74171,0.029411764705882353;74454,0.07407407407407407;75458,0.02857142857142857
article	67392,0.0625
34	67392,0.0625;67944,0.05263157894736842;68277,0.05263157894736842;68887,0.05;71362,0.05555555555555555;71612,0.027777777777777776;72630,0.047619047619047616;75066,0.0625;76512,0.05555555555555555
Inscription	67392,0.0625
redirectix	67392,0.0625;69820,0.14285714285714285;73690,0.09090909090909091;76516,0.07692307692307693
bulletins	67392,0.0625;69820,0.14285714285714285;72934,0.023809523809523808;73690,0.09090909090909091;74167,0.02857142857142857;74171,0.029411764705882353;74454,0.07407407407407407;75458,0.02857142857142857;76516,0.07692307692307693
electroniques	67392,0.0625;69820,0.14285714285714285;72934,0.023809523809523808;73690,0.09090909090909091;74167,0.02857142857142857;74171,0.029411764705882353;74454,0.07407407407407407;75458,0.02857142857142857;76516,0.07692307692307693
jTFx7	67392,0.0625
EDEN	67553,0.047619047619047616
Thierry	67553,0.047619047619047616;68384,0.037037037037037035;71840,0.05263157894736842;74167,0.014285714285714285;75790,0.09090909090909091
Regond	67553,0.047619047619047616;71840,0.05263157894736842;74167,0.014285714285714285
72	67553,0.047619047619047616;68388,0.047619047619047616;69540,0.09523809523809523;69816,0.05263157894736842;70167,0.024390243902439025;70751,0.07142857142857142;70920,0.09090909090909091;70921,0.05;71840,0.05263157894736842;72397,0.05263157894736842;73189,0.11764705882352941;73876,0.045454545454545456;74167,0.014285714285714285
12	67553,0.09523809523809523;68389,0.058823529411764705;71840,0.10526315789473684;74167,0.05714285714285714;74171,0.029411764705882353;74752,0.05263157894736842
tregond	67553,0.047619047619047616;71840,0.05263157894736842;74167,0.014285714285714285
sunaero	67553,0.047619047619047616;71840,0.10526315789473684;74167,0.02857142857142857
eden	67553,0.047619047619047616
defense	67553,0.047619047619047616;67941,0.05555555555555555
cluster	67553,0.047619047619047616
Leti	67554,0.1111111111111111;68881,0.05263157894736842
Stéphane	67554,0.1111111111111111;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68886,0.0625;72392,0.030303030303030304;74168,0.07142857142857142
Lavessière	67554,0.1111111111111111
stephane	67554,0.1111111111111111;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70914,0.0625;72392,0.06060606060606061;74168,0.07142857142857142
laveissiere	67554,0.1111111111111111;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70914,0.0625;72392,0.030303030303030304;74168,0.07142857142857142
Centre	67555,0.05555555555555555;69534,0.05263157894736842;70423,0.041666666666666664;70744,0.038461538461538464;71618,0.05;71621,0.024390243902439025;72119,0.02631578947368421;73688,0.047619047619047616
des	67555,0.05555555555555555;67556,0.022222222222222223;68383,0.03125;68390,0.038461538461538464;68645,0.038461538461538464;69182,0.034482758620689655;69183,0.03225806451612903;69534,0.05263157894736842;70167,0.024390243902439025;70429,0.05263157894736842;70915,0.07407407407407407;72113,0.041666666666666664;72934,0.023809523809523808;73182,0.041666666666666664;73430,0.034482758620689655;73436,0.038461538461538464;73881,0.0625;73882,0.05405405405405406;75792,0.05555555555555555;76509,0.4117647058823529
Sciences	67555,0.05555555555555555;68645,0.038461538461538464;69534,0.05263157894736842;71620,0.058823529411764705;73436,0.038461538461538464
du	67555,0.05555555555555555;67556,0.022222222222222223;68384,0.037037037037037035;68645,0.038461538461538464;69534,0.05263157894736842;70744,0.038461538461538464;71357,0.038461538461538464;72395,0.038461538461538464;72934,0.047619047619047616;73884,0.018518518518518517;75792,0.1111111111111111
Goût	67555,0.05555555555555555;69534,0.05263157894736842
l	67555,0.2777777777777778;68645,0.2692307692307692;69534,0.3684210526315789;70744,0.2692307692307692;71366,0.25;72632,0.2;73884,0.05555555555555555
Alimentation	67555,0.05555555555555555;69534,0.05263157894736842
CSGA	67555,0.05555555555555555;69534,0.05263157894736842;70749,0.0625;75790,0.09090909090909091;76206,0.1111111111111111
Sylvie	67555,0.05555555555555555
Issanchou	67555,0.05555555555555555
sylvie	67555,0.05555555555555555
issanchou	67555,0.05555555555555555
dijon	67555,0.05555555555555555;68279,0.1111111111111111;69534,0.05263157894736842;69812,0.1;69817,0.1;70420,0.1111111111111111;70749,0.0625;74449,0.08333333333333333;75790,0.09090909090909091
inra	67555,0.05555555555555555;68384,0.037037037037037035;68882,0.05263157894736842;69182,0.034482758620689655;69534,0.05263157894736842;69537,0.058823529411764705;69812,0.1;69817,0.1;70420,0.1111111111111111;70746,0.1;70749,0.0625;71357,0.07692307692307693;71618,0.05;71837,0.058823529411764705;72121,0.0625;73432,0.07692307692307693;75069,0.058823529411764705;75790,0.09090909090909091
781	67556,0.022222222222222223
Génétique	67556,0.022222222222222223
épigénétique	67556,0.022222222222222223
maladies	67556,0.022222222222222223
métaboliques	67556,0.022222222222222223
neurosensorielles	67556,0.022222222222222223
développement	67556,0.022222222222222223
Laurence	67556,0.022222222222222223;70743,0.05;73430,0.034482758620689655
Colleaux	67556,0.022222222222222223
44	67556,0.022222222222222223;67937,0.058823529411764705;67939,0.04;67942,0.0625;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68393,0.05555555555555555;69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70161,0.045454545454545456;70163,0.0625;70422,0.02702702702702703;70424,0.0625;70429,0.05263157894736842;70923,0.05263157894736842;71835,0.038461538461538464;71836,0.06451612903225806;72113,0.041666666666666664;72397,0.05263157894736842;72632,0.05;72939,0.03571428571428571;73182,0.041666666666666664;73434,0.0625;74452,0.058823529411764705;75068,0.05263157894736842;75457,0.0625;76513,0.05
49	67556,0.022222222222222223;67797,0.125;69184,0.041666666666666664;69185,0.058823529411764705;69541,0.09090909090909091;72630,0.047619047619047616;73875,0.05;73883,0.058823529411764705
51	67556,0.022222222222222223;67941,0.05555555555555555;67944,0.05263157894736842;68280,0.0625;70751,0.07142857142857142;70916,0.022727272727272728;72939,0.03571428571428571;73430,0.034482758620689655;74750,0.0625;76513,0.05
mixte	67556,0.022222222222222223
génétique	67556,0.044444444444444446
biologie	67556,0.022222222222222223
moléculaire	67556,0.022222222222222223;69183,0.0967741935483871
cellulaire	67556,0.022222222222222223
Marc	67556,0.022222222222222223
Egly	67556,0.022222222222222223
O	67556,0.022222222222222223;68389,0.058823529411764705
6	67556,0.022222222222222223;70920,0.09090909090909091
73	67556,0.022222222222222223;68281,0.05555555555555555;72117,0.041666666666666664;73186,0.05263157894736842;73436,0.038461538461538464;73687,0.058823529411764705;75067,0.05263157894736842
98	67556,0.022222222222222223;67944,0.05263157894736842;74170,0.047619047619047616
19	67556,0.022222222222222223;67941,0.05555555555555555;72392,0.030303030303030304;73683,0.045454545454545456
Cemagref	67557,0.043478260869565216;68283,0.125
Antony	67557,0.043478260869565216
Graciela	67557,0.043478260869565216
Alvarez	67557,0.043478260869565216
40	67557,0.043478260869565216;67797,0.125;67802,0.0625;68280,0.0625;68645,0.038461538461538464;69178,0.0625;69536,0.024390243902439025;70423,0.041666666666666664;70743,0.05;70748,0.03125;71614,0.05263157894736842;71837,0.058823529411764705;72630,0.047619047619047616;73431,0.045454545454545456;73433,0.05263157894736842;73882,0.02702702702702703;74170,0.047619047619047616;74750,0.0625;75066,0.0625;75460,0.05;75463,0.0625
96	67557,0.043478260869565216;67937,0.058823529411764705;68278,0.058823529411764705;70916,0.022727272727272728;72939,0.03571428571428571;74452,0.058823529411764705
60	67557,0.043478260869565216;68644,0.06666666666666667
17	67557,0.043478260869565216;67943,0.0625;69539,0.0625;70920,0.09090909090909091
graciela	67557,0.043478260869565216
alvarez	67557,0.043478260869565216
cemagref	67557,0.043478260869565216;68283,0.25
FRISBEE	67557,0.043478260869565216
frisbee	67557,0.043478260869565216
project	67557,0.043478260869565216
eu	67557,0.043478260869565216;67940,0.1111111111111111;68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70170,0.125;70422,0.05405405405405406;70425,0.0625;70753,0.14285714285714285;73879,0.14285714285714285;74749,0.06666666666666667;75457,0.0625;75791,0.047619047619047616;75796,0.1
onlinelibrary	67558,0.1
wiley	67558,0.1
doi	67558,0.1
10	67558,0.3;68888,0.05555555555555555;70167,0.024390243902439025;70426,0.05555555555555555;71614,0.05263157894736842;72940,0.047619047619047616;75070,0.058823529411764705
1002	67558,0.1
ange	67558,0.1
201102115	67558,0.1
abstract	67558,0.1
Renseignements	67561,0.1111111111111111;72937,0.045454545454545456
11	67561,0.1111111111111111;75791,0.047619047619047616
22	67561,0.1111111111111111;68883,0.05263157894736842;69816,0.05263157894736842;73433,0.05263157894736842;74170,0.047619047619047616;75070,0.058823529411764705;75460,0.05
Bourin	67794,0.14285714285714285
Editeur	67794,0.14285714285714285;68383,0.03125
bourin	67794,0.14285714285714285
editeur	67794,0.14285714285714285
AgroParisTech	67795,0.125;68389,0.058823529411764705;72637,0.125
Gilles	67795,0.125;72115,0.1111111111111111;75458,0.02857142857142857
Trystram	67795,0.125
gilles	67795,0.125;75458,0.02857142857142857
trystram	67795,0.125
agroparistech	67795,0.125;68389,0.058823529411764705;72637,0.125
ULIS	67796,0.2
ulis	67796,0.2
ir	67796,0.2
AIRBUS	67797,0.125;71617,0.2
Nina	67797,0.125
Ohlerich	67797,0.125
743	67797,0.125
85253	67797,0.125
CEN	67798,0.1111111111111111
Expérimental	67798,0.1111111111111111
André	67798,0.1111111111111111
Allaert	67798,0.1111111111111111
allaert	67798,0.1111111111111111
cenbiotech	67798,0.1111111111111111
Biocitech	67799,0.25
biocitech	67799,0.25
Coline	67800,0.125;74744,0.047619047619047616;74745,0.047619047619047616
Verneau	67800,0.125;74744,0.047619047619047616;74745,0.047619047619047616
coline	67800,0.125;74744,0.047619047619047616;74745,0.047619047619047616
verneau	67800,0.125;74744,0.047619047619047616;74745,0.047619047619047616
INSERM	67801,0.05555555555555555;67802,0.0625;69184,0.041666666666666664;73184,0.07142857142857142
Emmanuel	67801,0.05555555555555555;69536,0.024390243902439025;74455,0.1111111111111111
Lagarde	67801,0.05555555555555555;74450,0.09090909090909091
04	67801,0.05555555555555555;67942,0.0625;68383,0.03125;71836,0.03225806451612903;73875,0.05;76210,0.05555555555555555
emmanuel	67801,0.05555555555555555
lagarde	67801,0.05555555555555555
isped	67801,0.05555555555555555
Raphael	67802,0.0625
Scharfmann	67802,0.0625
01	67802,0.0625;69177,0.07692307692307693;69179,0.07692307692307693;70421,0.0625;72392,0.030303030303030304;73183,0.045454545454545456;73188,0.05
55	67802,0.0625;72114,0.058823529411764705;73186,0.05263157894736842;73875,0.05
65	67802,0.0625;70168,0.0625;70918,0.06666666666666667;73190,0.047619047619047616
raphael	67802,0.0625;76208,0.05263157894736842
scharfmann	67802,0.0625
inserm	67802,0.0625;68388,0.047619047619047616
Colloque	67803,0.07142857142857142;70428,0.14285714285714285;70749,0.0625;71620,0.058823529411764705;75464,0.14285714285714285
International	67803,0.07142857142857142;70921,0.05;71619,0.07142857142857142;73438,0.125
Changement	67803,0.07142857142857142
climatique	67803,0.07142857142857142
impacts	67803,0.07142857142857142
adaptation	67803,0.07142857142857142
smf	67803,0.07142857142857142
asso	67803,0.07142857142857142;73882,0.02702702702702703
