fr	67068,0.1111111111111111;67071,0.2;67383,0.25;67385,0.05555555555555555;67386,0.05555555555555555;67387,0.04878048780487805;67389,0.04;67390,0.05555555555555555;67391,0.05;67554,0.1111111111111111;67555,0.05555555555555555;67557,0.08695652173913043;67794,0.14285714285714285;67795,0.125;67800,0.125;67801,0.05555555555555555;67802,0.0625;67803,0.07142857142857142;67937,0.058823529411764705;67939,0.04;67940,0.1111111111111111;67941,0.05555555555555555;67942,0.0625;67943,0.0625;67944,0.05263157894736842;67945,0.04;67946,0.05263157894736842;68275,0.2;68277,0.05263157894736842;68278,0.058823529411764705;68279,0.1111111111111111;68280,0.0625;68281,0.05555555555555555;68283,0.25;68384,0.037037037037037035;68385,0.0625;68387,0.07142857142857142;68388,0.047619047619047616;68389,0.058823529411764705;68391,0.11764705882352941;68392,0.05263157894736842;68638,0.041666666666666664;68640,0.0625;68642,0.07692307692307693;68643,0.16666666666666666;68644,0.06666666666666667;68645,0.038461538461538464;68881,0.05263157894736842;68882,0.05263157894736842;68883,0.10526315789473684;68884,0.09090909090909091;68886,0.0625;68887,0.05;68888,0.05555555555555555;68889,0.08333333333333333;69177,0.07692307692307693;69178,0.0625;69179,0.07692307692307693;69180,0.1111111111111111;69181,0.2;69182,0.06896551724137931;69183,0.03225806451612903;69184,0.041666666666666664;69185,0.058823529411764705;69186,0.07142857142857142;69534,0.05263157894736842;69535,0.16666666666666666;69536,0.07317073170731707;69537,0.058823529411764705;69538,0.05555555555555555;69539,0.0625;69540,0.047619047619047616;69812,0.1;69813,0.0625;69814,0.06666666666666667;69816,0.05263157894736842;69817,0.1;69818,0.2;70163,0.0625;70164,0.2;70166,0.125;70167,0.04878048780487805;70168,0.0625;70169,0.16666666666666666;70420,0.1111111111111111;70421,0.0625;70423,0.041666666666666664;70424,0.0625;70426,0.05555555555555555;70429,0.05263157894736842;70743,0.05;70744,0.038461538461538464;70745,0.1;70746,0.1;70747,0.125;70748,0.03125;70749,0.0625;70752,0.2;70914,0.125;70915,0.07407407407407407;70916,0.045454545454545456;70917,0.058823529411764705;70918,0.06666666666666667;70919,0.0625;70922,0.047619047619047616;70923,0.05263157894736842;71357,0.07692307692307693;71358,0.0625;71359,0.14285714285714285;71361,0.0625;71362,0.05555555555555555;71612,0.05555555555555555;71614,0.05263157894736842;71618,0.05;71620,0.058823529411764705;71621,0.04878048780487805;71835,0.07692307692307693;71836,0.06451612903225806;71837,0.058823529411764705;71838,0.0625;71842,0.2;71843,0.07142857142857142;71845,0.14285714285714285;72113,0.08333333333333333;72114,0.11764705882352941;72115,0.1111111111111111;72116,0.125;72119,0.05263157894736842;72120,0.125;72121,0.125;72122,0.047619047619047616;72392,0.09090909090909091;72394,0.1111111111111111;72397,0.05263157894736842;72400,0.16666666666666666;72401,0.125;72630,0.047619047619047616;72631,0.1111111111111111;72635,0.0625;72637,0.125;72932,0.1111111111111111;72936,0.08333333333333333;72937,0.045454545454545456;72938,0.16666666666666666;72939,0.07142857142857142;72940,0.09523809523809523;73182,0.08333333333333333;73184,0.07142857142857142;73186,0.05263157894736842;73189,0.058823529411764705;73190,0.09523809523809523;73430,0.06896551724137931;73431,0.09090909090909091;73432,0.07692307692307693;73433,0.15789473684210525;73434,0.0625;73436,0.038461538461538464;73437,0.125;73683,0.045454545454545456;73685,0.17647058823529413;73687,0.058823529411764705;73688,0.047619047619047616;73689,0.09523809523809523;73875,0.05;73876,0.045454545454545456;73882,0.05405405405405406;73883,0.058823529411764705;73884,0.07407407407407407;74168,0.07142857142857142;74169,0.1111111111111111;74170,0.23809523809523808;74173,0.043478260869565216;74174,0.07142857142857142;74175,0.1111111111111111;74176,0.08695652173913043;74449,0.08333333333333333;74452,0.058823529411764705;74456,0.2222222222222222;74744,0.09523809523809523;74745,0.09523809523809523;74746,0.18181818181818182;74748,0.2;74749,0.06666666666666667;74750,0.0625;74751,0.08695652173913043;74752,0.05263157894736842;75063,0.18181818181818182;75064,0.08333333333333333;75066,0.0625;75068,0.05263157894736842;75069,0.058823529411764705;75070,0.058823529411764705;75071,0.16666666666666666;75459,0.07142857142857142;75460,0.15;75462,0.1;75463,0.0625;75464,0.14285714285714285;75466,0.16666666666666666;75790,0.09090909090909091;75792,0.1111111111111111;75794,0.07692307692307693;75797,0.2;76206,0.1111111111111111;76211,0.05;76212,0.08333333333333333;76213,0.07692307692307693;76507,0.16666666666666666;76511,0.1111111111111111;76512,0.05555555555555555;76515,0.125;76516,0.07692307692307693
http	67068,0.05555555555555555;67071,0.2;67392,0.125;67553,0.047619047619047616;67557,0.043478260869565216;67558,0.1;67803,0.07142857142857142;68275,0.2;68383,0.0625;68384,0.037037037037037035;68386,0.16666666666666666;68638,0.041666666666666664;68643,0.08333333333333333;68646,0.16666666666666666;68889,0.08333333333333333;69181,0.2;69186,0.14285714285714285;69533,0.2;69535,0.16666666666666666;69542,0.16666666666666666;69543,0.2;69811,0.1111111111111111;69815,0.2;69818,0.2;69820,0.14285714285714285;69821,0.1;70164,0.2;70165,0.16666666666666666;70169,0.16666666666666666;70170,0.125;70422,0.02702702702702703;70752,0.1;70753,0.14285714285714285;70915,0.037037037037037035;70916,0.022727272727272728;71357,0.038461538461538464;71360,0.2;71363,0.14285714285714285;71366,0.125;71614,0.05263157894736842;71615,0.16666666666666666;71616,0.0625;71617,0.2;71619,0.07142857142857142;71620,0.058823529411764705;71835,0.038461538461538464;71839,0.2;71840,0.05263157894736842;71841,0.2;71842,0.2;71845,0.14285714285714285;72113,0.041666666666666664;72114,0.058823529411764705;72117,0.041666666666666664;72118,0.16666666666666666;72120,0.125;72121,0.125;72122,0.14285714285714285;72393,0.1111111111111111;72395,0.038461538461538464;72400,0.16666666666666666;72401,0.125;72629,0.08333333333333333;72633,0.15384615384615385;72636,0.08333333333333333;72933,0.16666666666666666;72934,0.023809523809523808;72935,0.2;72936,0.041666666666666664;72937,0.045454545454545456;72938,0.08333333333333333;72939,0.03571428571428571;72940,0.047619047619047616;73182,0.041666666666666664;73183,0.045454545454545456;73185,0.07692307692307693;73187,0.16666666666666666;73190,0.047619047619047616;73431,0.045454545454545456;73435,0.2;73437,0.125;73438,0.125;73683,0.045454545454545456;73685,0.058823529411764705;73686,0.2;73689,0.047619047619047616;73690,0.09090909090909091;73691,0.16666666666666666;73875,0.05;73878,0.14285714285714285;73879,0.07142857142857142;73880,0.16666666666666666;73881,0.0625;73882,0.02702702702702703;73884,0.07407407407407407;74167,0.04285714285714286;74170,0.047619047619047616;74171,0.058823529411764705;74174,0.07142857142857142;74175,0.1111111111111111;74176,0.043478260869565216;74451,0.2;74453,0.2;74454,0.1111111111111111;74456,0.1111111111111111;74457,0.16666666666666666;74746,0.18181818181818182;74747,0.08333333333333333;74748,0.2;74749,0.06666666666666667;74751,0.043478260869565216;74752,0.05263157894736842;75063,0.09090909090909091;75065,0.07692307692307693;75066,0.0625;75071,0.16666666666666666;75458,0.02857142857142857;75461,0.16666666666666666;75464,0.14285714285714285;75465,0.16666666666666666;75466,0.16666666666666666;75795,0.1111111111111111;75796,0.1;75797,0.2;76207,0.06666666666666667;76213,0.07692307692307693;76507,0.08333333333333333;76508,0.08333333333333333;76509,0.11764705882352941;76510,0.14285714285714285;76514,0.16666666666666666;76515,0.125;76516,0.15384615384615385
www	67068,0.05555555555555555;67071,0.2;67392,0.0625;67553,0.047619047619047616;67557,0.043478260869565216;67794,0.14285714285714285;67796,0.2;67799,0.25;67803,0.07142857142857142;67804,0.14285714285714285;67938,0.2;67940,0.2222222222222222;67945,0.04;67946,0.10526315789473684;68273,0.07692307692307693;68283,0.25;68383,0.0625;68384,0.037037037037037035;68386,0.16666666666666666;68638,0.041666666666666664;68643,0.08333333333333333;68646,0.16666666666666666;68882,0.05263157894736842;68889,0.08333333333333333;69181,0.2;69186,0.07142857142857142;69533,0.2;69542,0.16666666666666666;69543,0.2;69811,0.1111111111111111;69815,0.2;69818,0.2;69821,0.1;70164,0.2;70165,0.16666666666666666;70169,0.16666666666666666;70170,0.125;70422,0.02702702702702703;70752,0.1;70753,0.14285714285714285;70915,0.037037037037037035;70916,0.022727272727272728;71360,0.2;71363,0.14285714285714285;71366,0.125;71614,0.05263157894736842;71615,0.16666666666666666;71616,0.0625;71617,0.2;71619,0.07142857142857142;71620,0.058823529411764705;71835,0.038461538461538464;71839,0.2;71840,0.05263157894736842;71841,0.2;71842,0.2;71845,0.14285714285714285;72113,0.041666666666666664;72114,0.058823529411764705;72117,0.041666666666666664;72118,0.16666666666666666;72120,0.125;72121,0.0625;72122,0.14285714285714285;72393,0.1111111111111111;72395,0.038461538461538464;72400,0.16666666666666666;72401,0.125;72629,0.08333333333333333;72633,0.15384615384615385;72636,0.08333333333333333;72933,0.16666666666666666;72934,0.023809523809523808;72935,0.2;72936,0.041666666666666664;72937,0.045454545454545456;72939,0.03571428571428571;72940,0.047619047619047616;73182,0.041666666666666664;73185,0.07692307692307693;73187,0.16666666666666666;73435,0.2;73437,0.125;73438,0.125;73685,0.058823529411764705;73686,0.2;73689,0.047619047619047616;73691,0.16666666666666666;73875,0.05;73878,0.14285714285714285;73879,0.07142857142857142;73880,0.16666666666666666;73881,0.0625;73882,0.02702702702702703;73884,0.07407407407407407;74167,0.04285714285714286;74170,0.047619047619047616;74171,0.058823529411764705;74175,0.1111111111111111;74176,0.043478260869565216;74451,0.2;74453,0.2;74454,0.1111111111111111;74456,0.1111111111111111;74457,0.16666666666666666;74744,0.047619047619047616;74745,0.047619047619047616;74746,0.18181818181818182;74747,0.08333333333333333;74748,0.2;74749,0.06666666666666667;74751,0.043478260869565216;74752,0.05263157894736842;75063,0.09090909090909091;75064,0.041666666666666664;75065,0.07692307692307693;75066,0.0625;75071,0.16666666666666666;75458,0.02857142857142857;75461,0.16666666666666666;75465,0.16666666666666666;75466,0.16666666666666666;75795,0.1111111111111111;75796,0.1;75797,0.2;76213,0.07692307692307693;76507,0.08333333333333333;76508,0.08333333333333333;76509,0.058823529411764705;76510,0.14285714285714285;76514,0.16666666666666666;76515,0.125;76516,0.07692307692307693
institut	67068,0.05555555555555555
langevin	67068,0.05555555555555555
AllEnvi	67071,0.2
allenvi	67071,0.2
Lirmm	67383,0.125
François	67383,0.125;67794,0.14285714285714285;67798,0.1111111111111111;69182,0.034482758620689655
Pierrot	67383,0.125
