de	""	0.0
le	""	0.0
un	""	0.003072199036970059
à	""	0.015456258236691672
et	""	0.021706278581863074
ce	""	0.034324742541074676
en	""	0.03750439545845427
pour	""	0.13090557054685498
qui	""	0.17376927497863742
est-ell	""	0.1774255861817479
être	""	0.1810953150707103
dans	""	0.20340107258500864
que	""	0.2109482782203915
avoir	""	0.21474334918894306
au-delà	""	0.26543646350446126
par	""	0.27346863520172543
se	""	0.3062584580247164
son	""	0.3273118672225487
sur-	""	0.361947363885305
plus	""	0.4303111066946952
avec	""	0.5087827221361904
il.aujourd'	""	0.5719616237577221
recherche	""	0.7306515760183996
ainsi	""	0.7499447789530785
permettre	""	0.7499447789530785
premier	""	0.7564594599742722
dernier	""	0.8101636389461333
nouveau	""	0.831070323765447
ou	""	0.8452549587574034
tout	""	0.8452549587574034
mais	""	0.8596436962095029
aussi	""	0.8742424956306556
dont	""	0.8890575814157964
chercheur	""	0.896548253144954
ne	""	0.896548253144954
celui-ci	""	0.9193629309111252
pouvoir	""	0.9270849770050356
comme	""	0.9666158157616708
entrer	""	0.9747130259942901
deux	""	1.0077738882551783
année	""	1.0683985100716131
développement	""	1.0955494991375638
projet	""	1.104766154242488
effet	""	1.1329370312091842
objectif	""	1.1329370312091842
développer	""	1.142506482225335
ci	""	1.1619245680824366
où	""	1.1619245680824366
sein	""	1.1717768645254483
entreprise	""	1.1817271953786161
travail	""	1.1917775312321177
très	""	1.1917775312321177
équipe	""	1.2019299026961356
autre	""	1.2019299026961356
aujourd'hui	""	1.2019299026961356
hui	""	1.2019299026961356
pas-de-caler	""	1.212186402863325
industriel	""	1.2225491898988714
également	""	1.2542978882134517
on	""	1.2651088043176675
université	""	1.2760378748498575
venir	""	1.2760378748498575
alors	""	1.2870877110364425
faire	""	1.2870877110364425
france	""	1.2870877110364425
y	""	1.2982610116345679
aller	""	1.2982610116345679
institut	""	1.309560566888501
centre	""	1.309560566888501
elle-même	""	1.309560566888501
depuis	""	1.320989262712124
cadre	""	1.356080582523394
domaine	""	1.3680567735701097
technologie	""	1.3924482266942688
cnrs	""	1.404870746692826
scientifique	""	1.404870746692826
ans.associer	""	1.404870746692826
rappelon	""	1.417449528899686
réaliser	""	1.430188554677116
lequel	""	1.4430919595130238
créer	""	1.4561640410803767
français	""	1.4964379402183166
donc	""	1.4964379402183166
fait	""	1.4964379402183166
utiliser	""	1.4964379402183166
cours	""	1.4964379402183166
innovation	""	1.5102312623506524
si	""	1.5102312623506524
il	""	1.5102312623506524
notamment	""	1.5102312623506524
laboratoire.resterer	""	1.5242175043253923
1.000	""	1.5242175043253923
sous-vêtement	""	1.5242175043253923
autour	""	1.5384021393173488
fois	""	1.5527908767694483
certain	""	1.5527908767694483
système	""	1.5527908767694483
même	""	1.5527908767694483
encore	""	1.567389676190601
dire	""	1.567389676190601
or	""	1.567389676190601
déjà	""	1.567389676190601
pari	""	1.5822047619757416
autant	""	1.5822047619757416
t	""	1.5822047619757416
nous	""	1.5822047619757416
jusque	""	1.5822047619757416
mettre	""	1.5822047619757416
devoir	""	1.5822047619757416
important	""	1.5822047619757416
afin	""	1.5822047619757416
présent	""	1.5822047619757416
international	""	1.5822047619757416
peut-être	""	1.597242639340282
trois	""	1.6125101114710705
secteur	""	1.6125101114710705
pôle	""	1.6125101114710705
proposer	""	1.6280142980070358
produit	""	1.659762996321616
organiser	""	1.659762996321616
monde	""	1.659762996321616
plusieurs	""	1.6760235171933964
national	""	1.6760235171933964
résultat	""	1.6760235171933964
partenaire	""	1.692552819144607
leur	""	1.692552819144607
terme	""	1.692552819144607
technique	""	1.7093599374609882
notre	""	1.7093599374609882
environnement.--[1	""	1.7093599374609882
agir	""	1.7093599374609882
expliquer	""	1.7093599374609882
présenter	""	1.7093599374609882
2,2	""	1.7093599374609882
compétitivité	""	1.7093599374609882
occasion	""	1.7264543708202882
science	""	1.7264543708202882
particulier	""	1.7264543708202882
4.000	""	1.7264543708202882
non-invasif	""	1.7438461135321575
ensemble	""	1.7438461135321575
3,65	""	1.7438461135321575
mener	""	1.7615456906315583
travailler	""	1.7795641961342368
temps	""	1.7795641961342368
bien-être	""	1.7795641961342368
enfin	""	1.7795641961342368
collaboration	""	1.7795641961342368
programme	""	1.7795641961342368
directeur	""	1.7979133348024332
industrie	""	1.7979133348024332
région	""	1.7979133348024332
moins	""	1.7979133348024332
grâce	""	1.8166054678145858
groupe	""	1.8166054678145858
étude	""	1.8166054678145858
forme	""	1.8166054678145858
personne	""	1.8356536627852802
application	""	1.8356536627852802
disposer	""	1.8356536627852802
marché	""	1.8356536627852802
lors	""	1.8356536627852802
ingénieur	""	1.855071748642382
édition	""	1.855071748642382
